"kind","etag","items__kind","items__etag","items__id","items__snippet__channelId","items__snippet__title","items__snippet__assignable"
"youtube#videoCategoryListResponse","""ld9biNPKjAjgjV7EZ4EKeEGrhao/1v2mrzYSYG6onNLt2qTj13hkQZk""","youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/Xy1mB4_yLrHy_BmKmPBggty2mZQ""","1","UCBR8-60-B28hp2BmDPdntcQ","Film & Animation","True"
"","","youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/UZ1oLIIz2dxIhO45ZTFR3a3NyTA""","2","UCBR8-60-B28hp2BmDPdntcQ","Autos & Vehicles","True"
"","","youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/nqRIq97-xe5XRZTxbknKFVe5Lmg""","10","UCBR8-60-B28hp2BmDPdntcQ","Music","True"
"","","youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/HwXKamM1Q20q9BN-oBJavSGkfDI""","15","UCBR8-60-B28hp2BmDPdntcQ","Pets & Animals","True"
"","","youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/9GQMSRjrZdHeb1OEM1XVQ9zbGec""","17","UCBR8-60-B28hp2BmDPdntcQ","Sports","True"
"","","youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/FJwVpGCVZ1yiJrqZbpqe68Sy_OE""","18","UCBR8-60-B28hp2BmDPdntcQ","Short Movies","False"
"","","youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/M-3iD9dwK7YJCafRf_DkLN8CouA""","19","UCBR8-60-B28hp2BmDPdntcQ","Travel & Events","True"
"","","youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/WmA0qYEfjWsAoyJFSw2zinhn2wM""","20","UCBR8-60-B28hp2BmDPdntcQ","Gaming","True"
"","","youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/EapFaGYG7K0StIXVf8aba249tdM""","21","UCBR8-60-B28hp2BmDPdntcQ","Videoblogging","False"
"","","youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/xId8RX7vRN8rqkbYZbNIytUQDRo""","22","UCBR8-60-B28hp2BmDPdntcQ","People & Blogs","True"
"","","youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/G9LHzQmx44rX2S5yaga_Aqtwz8M""","23","UCBR8-60-B28hp2BmDPdntcQ","Comedy","True"
"","","youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/UVB9oxX2Bvqa_w_y3vXSLVK5E_s""","24","UCBR8-60-B28hp2BmDPdntcQ","Entertainment","True"
"","","youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/QiLK0ZIrFoORdk_g2l_XR_ECjDc""","25","UCBR8-60-B28hp2BmDPdntcQ","News & Politics","True"
"","","youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/r6Ck6Z0_L0rG37VJQR200SGNA_w""","26","UCBR8-60-B28hp2BmDPdntcQ","Howto & Style","True"
"","","youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/EoYkczo9I3RCf96RveKTOgOPkUM""","27","UCBR8-60-B28hp2BmDPdntcQ","Education","True"
"","","youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/w5HjcTD82G_XA3xBctS30zS-JpQ""","28","UCBR8-60-B28hp2BmDPdntcQ","Science & Technology","True"
"","","youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/lL7uWDr_071CHxifjYG1tJrp4Uo""","30","UCBR8-60-B28hp2BmDPdntcQ","Movies","False"
"","","youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/WnuVfjO-PyFLO7NTRQIbrGE62nk""","31","UCBR8-60-B28hp2BmDPdntcQ","Anime/Animation","False"
"","","youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/ctpH2hGA_UZ3volJT_FTlOg9M00""","32","UCBR8-60-B28hp2BmDPdntcQ","Action/Adventure","False"
"","","youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/L0kR3-g1BAo5UD1PLVbQ7LkkDtQ""","33","UCBR8-60-B28hp2BmDPdntcQ","Classics","False"
"","","youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/pUZOAC_s9sfiwar639qr_wAB-aI""","34","UCBR8-60-B28hp2BmDPdntcQ","Comedy","False"
"","","youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/Xb5JLhtyNRN3AQq021Ds-OV50Jk""","35","UCBR8-60-B28hp2BmDPdntcQ","Documentary","False"
"","","youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/u8WXzF4HIhtEi805__sqjuA4lEk""","36","UCBR8-60-B28hp2BmDPdntcQ","Drama","False"
"","","youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/D04PP4Gr7wc4IV_O9G66Z4A8KWQ""","37","UCBR8-60-B28hp2BmDPdntcQ","Family","False"
"","","youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/i5-_AceGXQCEEMWU0V8CcQm_vLQ""","38","UCBR8-60-B28hp2BmDPdntcQ","Foreign","False"
"","","youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/rtlxd0zOixA9QHdIZB26-St5qgQ""","39","UCBR8-60-B28hp2BmDPdntcQ","Horror","False"
"","","youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/N1TrDFLRppxZgBowCJfJCvh0Dpg""","40","UCBR8-60-B28hp2BmDPdntcQ","Sci-Fi/Fantasy","False"
"","","youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/7UMGi6zRySqXopr_rv4sZq6Za2E""","41","UCBR8-60-B28hp2BmDPdntcQ","Thriller","False"
"","","youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/RScXhi324h8usyIetreAVb-uKeM""","42","UCBR8-60-B28hp2BmDPdntcQ","Shorts","False"
"","","youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/0n9MJVCDLpA8q7aiGVrFsuFsd0A""","43","UCBR8-60-B28hp2BmDPdntcQ","Shows","False"
"","","youtube#videoCategory","""ld9biNPKjAjgjV7EZ4EKeEGrhao/x5NxSf5fz8hn4loSN4rvhwzD_pY""","44","UCBR8-60-B28hp2BmDPdntcQ","Trailers","False"
